autoctr,SpecCode,StockCode,EcologyRefNo,HabitatsRef,Neritic,SupraLittoralZone,Saltmarshes,LittoralZone,TidePools,Intertidal,SubLittoral,Caves,Oceanic,Epipelagic,Mesopelagic,Bathypelagic,Abyssopelagic,Hadopelagic,Estuaries,Mangroves,MarshesSwamps,CaveAnchialine,Stream,Lakes,Cave,Cave2,Herbivory2,HerbivoryRef,FeedingType,FeedingTypeRef,DietTroph,DietSeTroph,DietTLu,DietseTLu,DietRemark,DietRef,FoodTroph,FoodSeTroph,FoodRemark,FoodRef,AddRems,AssociationRef,Parasitism,Solitary,Symbiosis,Symphorism,Commensalism,Mutualism,Epiphytic,Schooling,SchoolingFrequency,SchoolingLifestage,Shoaling,ShoalingFrequency,ShoalingLifestage,SchoolShoalRef,AssociationsWith,AssociationsRemarks,OutsideHost,OHRemarks,InsideHost,IHRemarks,SubstrateRef,Benthic,Sessile,Mobile,Demersal,Endofauna,Pelagic,Megabenthos,Macrobenthos,Meiobenthos,SoftBottom,Sand,Coarse,Fine,Level,Sloping,Silt,Mud,Ooze,Detritus,Organic,HardBottom,Rocky,Rubble,Gravel,SpecialHabitatRef,Macrophyte,BedsBivalve,BedsRock,SeaGrassBeds,BedsOthers,CoralReefs,ReefExclusive,DropOffs,ReefFlats,Lagoons,Burrows,Tunnels,Guyots,Crevices,Seamounts,ColdSeeps,HydrothermalVents,DeepWaterCorals,Vegetation,Leaves,Stems,Roots,Driftwood,OInverterbrates,OIRemarks,Verterbrates,VRemarks,Pilings,RicePaddies,BoatHulls,Corals,SoftCorals,OnPolyp,BetweenPolyps,HardCorals,OnExoskeleton,InterstitialSpaces,Circadian1,Circadian2,Circadian3,BioAspect1,BioAspect2,BioAspect3,RemarksCircadian,CircadianRef,CircadianAlsoRef,Entered,Dateentered,Modified,Datemodified,Expert,Datechecked,TS,MoTaDieuKienVi
77,2,1,3,87,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,mainly plants/detritus (troph. 2-2.19),5414,browsing on substrate,NA,2,NA,2,0,Troph of adults from 1 study.,5414,2.01999998092651,0,Trophic level estimated from a number of food items using a randomized resampling routine.,30469,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,-1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1990-10-19,309,2011-03-24,NA,NA,NA,
78,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,mainly plants/detritus (troph. 2-2.19),1,browsing on substrate,1,2.17,0.03,2,0,Troph of juv./adults from 14 studies.,13543,2.77,0.36,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Inhabits lower Zambezi, Limpopo and eastern rivers southwards. Prefers sheltered banks provided with vegetation. The adult tilapia mainly occupy deeper terraces which surround the lake at high-water levels.  Feeds on detritus, plankton, and algae (Ref. 11889). Small fish fed initially on zoobenthos and zooplankton, but fish with a mass of over 4 g fed increasingly on <i>Microcystis aeruginosa</i> and detritus (Ref. 43783). Increased in rainfall improved the quality of diet, as level of protein, energy and organic matter in the diet increased in quantity (Ref. 52847). Utilized in rice fish culture (Ref. 26236).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,-1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1990-10-19,97,2015-09-22,711,2001-05-10,NA,
81,7,9,26,26,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),2334,hunting macrofauna (predator),2334,NA,NA,NA,NA,NA,NA,4.5,0.6,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,Tropical and subtropical oceanic water bodies.  Often congregate around floating objects.,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1990-10-19,303,2018-11-25,NA,NA,NA,
82,9,15,9770,9770,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),9769,hunting macrofauna (predator),NA,3.64,NA,NA,NA,Troph of adults from 1 study.,55797,3.85,0.61,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Inhabit coastal areas, usually found over muddy and sandy bottoms, also around reefs, together with the sponges and algae (Ref. 5213).  Feed on benthic animals (Ref. 9769).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,58652,-1,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,58652,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,2000-04-01,1472,2023-01-31,NA,NA,NA,
83,10,16,186,186,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),186,hunting macrofauna (predator),186,NA,NA,NA,NA,NA,NA,4.21,0.53,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Occur inshore, over soft bottom (Ref. 7300).  Adults form shoals over coral reefs, rocky shores, to sandy beaches.  Juveniles are solitary and inhabit estuaries.  Feeds on small fishes, small squids, and crustaceans (Ref. 9773).  Adults are reported to concentrate in large shoals.  Juveniles are solitary and often enter estuaries.  Literature records of the species from Hawaii are erroneous.",NA,0,-1,0,0,0,0,0,0,NA,NA,-1,NA,only adults,9773,NA,NA,0,NA,0,NA,9773,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,41878,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1990-10-19,2762,2023-12-04,NA,NA,NA,
40,77,87,43,43,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),43,hunting macrofauna (predator),43,4.5,0.335,NA,NA,Troph of juv./adults from 2 studies.,41508,4.47,0.83,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Oceanic epipelagic.  Highly migratory species residing above the thermocline.  Feeds on fishes (small tunas, anchovies, mackerel, mullet, etc.), crustaceans and cephalopods.  Feeding mostly occurs diurnally.  Solitary, but has been observed to form loose schools of up to 30 individuals (Ref. 9773).  Abundance and distribution is correlated with the seasonal movements of the water isotherm.",9773,0,-1,0,0,0,0,0,-1,sometimes,NA,0,NA,NA,9773,NA,NA,0,NA,0,NA,9773,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1990-10-19,2762,2023-12-07,NA,NA,NA,
41,79,88,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,mainly plants/detritus (troph. 2-2.19),6258,browsing on substrate,6258,NA,NA,2,0,NA,13438,2,0,Trophic level and s.e. inferred from exclusive plant/detritus food items.,30469,Current velocities range from 0.6 m/s to 1.8 m/s.  Feeding and spawning migrations depending on water temperature and water level are reported.  The juveniles winter in deep holes in the river bed.,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,-1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1990-10-19,1472,2018-04-04,NA,NA,NA,
42,80,95,49,49,-1,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,mainly plants/detritus (troph. 2-2.19),49,grazing on aquatic plants,49,NA,NA,2.03,0.06,NA,12509,2.59,0.18,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Feeds on algae as well as on zooplankton and benthic invertebrates (Ref. 11889).  Inhabits coastal waters, entering bays and estuaries.  Euryhaline.  Also found in freshwater.  Forms small shoals near the surface.  Feeds on benthic invertebrates, small crustaceans and worms (Ref. 9773).  Temperature is the prime factor responsible for limiting the habitat of the species to tropical and subtropical regions of the Indian and the Pacific Ocean. Also, susceptibility to predation limits the distribution of the species.",NA,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA,9773,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119549,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,-1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1990-10-19,2762,2023-12-06,NA,NA,NA,
43,81,96,55,58472,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),55,hunting macrofauna (predator),55,NA,NA,NA,NA,NA,NA,4.14,0.73,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Inhabit inshore coral and rocky reefs and in clear waters of lagoons.  Occur singly or in small groups.  Depth range 1-122 m (Ref. 58472).  Feed mainly on fishes, but also eats crustaceans.  Individuals with brilliant yellow on head may be nuptial males (Ref. 9821).  Often curious and approachable (Ref. 9710).  Attain 70 cm FL (Ref. 58472).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,53568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,58534,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1990-10-19,1472,2008-11-27,NA,NA,NA,
44,82,97,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,mainly plants/detritus (troph. 2-2.19),11027,grazing on aquatic plants,11027,NA,NA,2.14,0.0399999991059303,NA,11027,2.19,0.12,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Inhabits rivers (Ref. 4832).  A diurnal species and usually solitary.  Burrows occasionally.   Maximum altitude at 500 m and minimum temperature of 14°C. Feeds on detritus, plants and invertebrates (Ref. 11027).  Reproductive migration during the monsoon season towards shallow waters of flood plains. Non-spawning adults usually found feeding in littoral zones.",NA,0,-1,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,-1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1990-10-19,309,2007-11-15,NA,NA,NA,
