"SpecCode","Genus","SpeciesRefNo","Author","FBname","PicPreferredName","PicPreferredNameM","PicPreferredNameF","PicPreferredNameJ","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","Source","AuthorRef","Remark","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","AirBreathing","AirBreathingRef","AnaCat","MigratRef","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","VulnerabilityClimate","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Pic","PictureFemale","LarvaPic","EggPic","ImportanceRef","Importance","PriceCateg","PriceReliability","Remarks7","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","UsedasBait","BaitRef","Aquarium","AquariumFishII","AquariumRef","GameFish","GameRef","Dangerous","DangerousRef","Electrogenic","ElectroRef","Complete","GoogleImage","Comments","Profile","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
9,"Abalistes",9770,"(Anonymous, 1798)","Starry triggerfish","Abste_u4.jpg",NA,NA,"Abste_u2.jpg",445,NA,6790,NA,"short and / or deep","O",NA,NA,0,0,0,1,"demersal","WaterAssumed",NA,"amphidromous",51243,7,350,58488,NA,NA,NA,NA,NA,NA,NA,44,NA,60,"TL",NA,NA,111441,40,"TL",NA,NA,9770,NA,NA,NA,"ABSTE_U0",NA,NA,NA,3128,"commercial","medium","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,"trawls","unspecified bottom trawls (TB)",0,0,0,0,0,0,0,0,1,0,"never/rarely"," ",NA,"never/rarely",NA,"commercial","based mainly on capture",10361,0,NA,"harmless",9770,"no special ability",NA,NA,1,"Inhabit coastal areas, usually found over muddy and sandy bottoms, also around reefs, together with the sponges and algae (Ref. 5213). Adults on deep coastal slopes and usually seen swimming high above the bottom, sometimes found in estuaries.  Juveniles in sheltered coastal bays and estuaries with outcrops of rubble or debris on open substrates (Ref. 48637).  Feed on benthic animals (Ref. 9769).  Oviparous (Ref. 205).  Also caught with vertical long-lines (Ref. 9770).  Marketed fresh and dried-salted (Ref. 9770).",NA,0.75,0,2,1990-10-17,2,2024-01-17,124,1996-03-14,NA
5402,"Abantennarius",6773,"(Lesson, 1831)","Scarlet frogfish","Ancoc_ud.jpg",NA,NA,NA,192,NA,6851,NA,"short and / or deep","r",NA,NA,0,0,0,1,"reef-associated","WaterAssumed",NA,NA,NA,10,75,90102,NA,30,9269,NA,NA,NA,NA,10,NA,13,"TL",NA,NA,4113,NA,NA,NA,NA,NA,NA,NA,NA,"ANCOC_U0",NA,NA,NA,9269,"of no interest","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Collected from tide pools as well as lagoon and seaward reefs (Ref. 1602); secretive among rocks and sponges (Ref. 48635).  Feeds on small fishes (Ref. 89972). Benthic (Ref. 58302).  Oviparous.  Eggs are bound in ribbon-like sheath or mass of gelatinous mucus called 'egg raft' or 'veil' (Ref. 6773). Found among reef crevices or among rubble in 1-75 m, but usually less than 10 m (Ref 90102).",NA,0.501999974250793,0,14,1992-04-15,14,2022-04-22,303,2023-01-17,NA
7294,"Abantennarius",6773,"(Bleeker, 1859)","New Guinean frogfish","Andor_u0.jpg",NA,NA,NA,192,NA,6851,NA,"short and / or deep","R",NA,NA,0,0,0,1,"reef-associated","WaterAssumed",NA,"non-migratory",NA,0,10,48635,NA,NA,NA,NA,NA,NA,NA,10,NA,14,"TL",NA,NA,48635,NA,NA,NA,NA,NA,NA,NA,NA,"ANDOR_U0",NA,NA,NA,NA,"of no interest","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,NA,NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Found in intertidal reef flats (Ref. 1602).  Oviparous.  Eggs are bound in ribbon-like sheath or mass of gelatinous mucus called 'egg raft' or 'veil' (Ref. 6773).",NA,0.501999974250793,0,42,1993-02-08,14,2022-04-22,113,1997-01-22,NA
62797,"Abbottina",84795,"Nguyen, 2001",NA,NA,NA,NA,NA,754,NA,8266,NA,"Elongated","O",NA,NA,0,1,0,0,"benthopelagic","WaterAssumed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,NA,NA,0.531199991703033,0,10,2006-09-26,65,2021-10-29,NA,NA,NA
69366,"Ablabys",123539,"Chungthanawong & Motomura, 2018","Scaleless spiny waspfsh","Abgym_u0.jpg",NA,NA,NA,577,NA,6090,NA,"short and / or deep","O",NA,NA,NA,0,0,1,"benthopelagic","WaterAssumed",NA,NA,NA,NA,27,123539,NA,NA,NA,NA,NA,NA,NA,10,NA,8.27999973297119,"SL",NA,NA,123539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,NA,NA,0.531199991703033,0,14,2021-02-01,NA,2021-02-02,NA,NA,NA
10232,"Ablabys",2334,"(Cuvier, 1829)","Cockatoo waspfish","Abtae_u1.jpg",NA,NA,NA,577,NA,6090,NA,"short and / or deep","O",NA,NA,0,0,0,1,"benthopelagic","WaterAssumed",NA,NA,NA,1,78,11897,NA,NA,NA,NA,NA,NA,NA,10,NA,15,"TL",NA,NA,48635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4537,"commercial","unknown",NA,NA,NA,NA,"other","hand nets (HN)",0,0,0,0,0,1,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",4537,0,NA,"venomous",NA,"no special ability",NA,NA,1,"Inhabits shallow, subtidal areas with sand rubble and weed (Ref. 9710).  A strongly compressed fish that can be seen rocking back and forth on the bottom in response to surge.  Easily caught with small hand nets.  Nocturnal (Ref. 48635). Solitary or in pairs (Ref 90102).",NA,0.531199991703033,0,14,1994-05-19,2291,2021-02-02,14,1994-08-06,NA
972,"Ablennes",9682,"(Valenciennes, 1846)","Flat needlefish","Abhia_m0.jpg",NA,NA,NA,207,NA,4864,NA,"elongated","R",NA,NA,0,0,1,1,"reef-associated","WaterAssumed",NA,"oceanodromous",51243,0,3,58047,NA,NA,NA,NA,NA,NA,NA,39.61,73.77,140,"TL",NA,NA,40637,70,"SL",NA,NA,9279,4800,NA,40637,"ABHIA_U0",NA,NA,NA,3130,"minor commercial","high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,"various gears",NA,1,1,1,0,1,0,0,0,1,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,1,4699,"harmless",NA,"no special ability",NA,NA,1,"Inhabits neritic and oceanic waters but more often found near islands (Ref. 5213).  Found in estuaries (Ref. 26340), and coastal rivers (Ref. 33587).  Sometimes forming large schools (Ref. 5217).  Feeds mainly on small fishes (Ref. 9279).  Oviparous (Ref. 205).  Eggs may be found attached to objects in the water by filaments on the egg's surface (Ref. 205). Since the jaws are frequently broken, the maximum length is given as body length excluding head and caudal fin.  Usually caught with the help of artificial lights (Ref. 9279).  Marketed  fresh and salted; smoked or frozen (Ref. 9987).  Market limited due to the green-colored flesh (Ref. 5217).  In females, only left gonad is developed, and in males the right gonad is small or absent (Ref. 26938).",NA,0.625,0,1,1990-10-17,65,2015-04-14,113,1995-06-16,NA
6517,"Abudefduf",7247,"(Bloch, 1787)","Bengal sergeant","Abben_u6.jpg",NA,NA,NA,350,"Glyphisodontinae",7803,NA,"short and / or deep","R",NA,NA,0,0,0,1,"reef-associated","WaterAssumed",NA,"non-migratory",NA,1,6,7247,NA,NA,NA,NA,NA,NA,NA,10,NA,17,"TL",NA,NA,9710,NA,NA,NA,NA,NA,NA,NA,NA,"ABBEN_U0",NA,NA,NA,NA,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,NA,NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Adults occur singly or in small groups in inshore reef and lagoon environments.  Feed on algae, gastropods, and small crabs.  Highly territorial (Ref. 9710).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).",NA,0.5,0,14,1992-11-10,2,2015-04-14,65,1994-08-19,NA
5685,"Abudefduf",7247,"Hensley & Allen, 1977","Black-tail sergeant","Ablor_u2.jpg",NA,NA,NA,350,"Glyphisodontinae",7803,NA,"short and / or deep","R",NA,NA,0,0,0,1,"reef-associated","WaterAssumed",NA,"non-migratory",NA,1,6,7247,NA,NA,NA,NA,NA,NA,NA,10,NA,18,"TL",NA,NA,9710,NA,NA,NA,NA,NA,NA,NA,NA,"ABLOR_U1",NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,NA,NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Adults inhabit protected coastal areas often around docks or breakwaters (Ref. 7247).  Often found in loose aggregations or widely scattered individuals near or along shorelines (Ref. 90102).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).",NA,0.5,0,14,1992-06-11,2310,2013-04-25,65,1994-08-19,NA
5686,"Abudefduf",7247,"(Day, 1870)","Yellowtail sergeant","Abnot_u4.jpg",NA,NA,NA,350,"Glyphisodontinae",7803,NA,"short and / or deep","R",NA,NA,0,0,0,1,"reef-associated","WaterAssumed",NA,"non-migratory",NA,1,12,7247,NA,NA,NA,NA,NA,NA,NA,10,NA,17,"TL",NA,NA,4391,NA,NA,NA,NA,NA,NA,NA,NA,"ABNOT_U2",NA,NA,NA,4391,"of no interest","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,NA,NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Found in small groups along upper edges of sheltered drop-offs.  Also found in rocky inshore reefs with moderate to strong wave action.  In roving aggregations and somewhat difficult to approach (Ref. 9710).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).",NA,0.5,0,14,1992-06-11,2,2011-07-15,65,1994-08-19,NA
